City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Descrition
234,Namatanai,PG,-3.6667,152.4333,85.05,63,18,5.06,few clouds
235,Primo Tapia,MX,32.22,-116.9172,75.51,80,23,3.71,few clouds
236,Sitka,US,57.0531,-135.33,57.09,88,90,11.5,light rain
237,Ulladulla,AU,-35.35,150.4667,79.88,42,0,11.45,clear sky
238,Esperance,AU,-33.8667,121.9,58.84,67,63,16.71,broken clouds
239,Nome,US,64.5011,-165.4064,53.67,63,90,12.66,overcast clouds
240,Ushtobe,KZ,45.2514,77.9838,83.07,26,90,4.65,overcast clouds
241,Tezu,IN,27.9167,96.1667,87.24,73,99,2.28,overcast clouds
242,Mahanoro,MG,-19.9,48.8,65.44,86,42,5.35,light rain
243,Grand Gaube,MU,-20.0064,57.6608,71.38,89,67,4.0,broken clouds
244,Gobabis,NA,-22.45,18.9667,52.79,29,49,12.37,scattered clouds
245,Inndyr,NO,67.0338,14.0276,54.64,97,99,8.16,overcast clouds
246,Caravelas,BR,-17.7125,-39.2481,66.88,89,1,3.53,clear sky
247,Balkhash,KZ,46.844,74.9804,79.41,31,84,4.47,smoke
248,Noumea,NC,-22.2763,166.4572,71.58,60,80,15.86,broken clouds
249,Port Hardy,CA,50.6996,-127.4199,60.98,88,20,4.61,fog
250,Tuatapere,NZ,-46.1333,167.6833,57.81,88,97,7.11,overcast clouds
251,Vanimo,PG,-2.6741,141.3028,85.93,63,88,7.7,overcast clouds
252,Todos Santos,MX,23.45,-110.2167,82.0,81,99,9.78,overcast clouds
253,Carballo,ES,43.213,-8.691,62.91,93,62,2.8,broken clouds
254,Pangody,RU,65.85,74.4859,58.73,57,1,13.47,clear sky
255,Waipawa,NZ,-41.4122,175.5153,54.03,67,32,1.86,scattered clouds
256,Chimbote,PE,-9.0853,-78.5783,62.53,82,67,8.7,broken clouds
257,Meadow Lake,US,34.8014,-106.5436,78.28,58,93,3.33,overcast clouds
258,Garden City,US,42.3256,-83.331,83.59,79,90,1.01,overcast clouds
259,Buchanan,LR,5.8808,-10.0467,76.71,86,91,8.34,overcast clouds
260,Pimentel,PE,-6.8367,-79.9342,63.0,82,66,4.0,broken clouds
261,Aroysund,NO,59.1806,10.455,57.33,100,20,3.44,fog
262,Bima,ID,-8.4667,118.7167,93.29,40,10,6.2,clear sky
263,Hoshcha,UA,50.6003,26.6744,61.05,77,3,5.41,clear sky
264,Kibala,TD,9.1104,18.3463,75.15,88,20,4.61,thunderstorm
265,Teguldet,RU,57.3064,88.1667,65.88,91,100,5.14,light rain
266,Kreminna,UA,49.0495,38.2179,74.82,59,56,1.59,broken clouds
267,Vao,NC,-22.6667,167.4833,67.41,61,43,23.09,scattered clouds
268,Lichinga,MZ,-13.3128,35.2406,50.09,76,20,11.5,few clouds
269,Badou,TG,7.5833,0.6,69.85,94,87,3.65,overcast clouds
270,Buala,SB,-8.145,159.5921,84.0,73,69,10.58,light rain
271,Flin Flon,CA,54.7682,-101.865,52.39,92,100,14.09,overcast clouds
272,Sakassou,CI,7.4546,-5.2926,71.44,99,90,4.81,overcast clouds
273,Sainte-Rose,GP,16.3324,-61.6979,80.64,89,0,6.91,clear sky
274,Pemba,MZ,-12.974,40.5178,72.3,78,75,8.05,broken clouds
275,Chinhoyi,ZW,-17.3667,30.2,51.26,85,0,5.79,clear sky
276,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,74.21,87,95,2.04,overcast clouds
277,Jalu,LY,29.0331,21.5482,80.35,44,0,6.85,clear sky
278,Alpena,US,45.0617,-83.4327,75.34,94,1,9.22,light rain
279,Wum,CM,6.3833,10.0667,62.58,97,67,2.42,broken clouds
280,Mount Isa,AU,-20.7333,139.5,85.77,19,5,5.75,clear sky
281,Kabanjahe,ID,3.1001,98.4908,66.96,69,85,4.03,overcast clouds
282,North Bend,US,43.4065,-124.2243,63.91,94,1,13.8,clear sky
283,Saint-Pierre,RE,-21.3393,55.4781,72.18,78,0,5.75,clear sky
284,Saku,JP,36.2167,138.4833,82.78,60,98,1.34,light rain
285,Kuytun,RU,54.3419,101.5036,75.96,34,0,12.46,clear sky
286,Seydi,TM,39.4816,62.9137,87.91,20,0,14.07,clear sky
287,Ciudad Bolivar,VE,8.1222,-63.5497,77.16,88,17,6.93,few clouds
288,Yakeshi,CN,49.2833,120.7333,61.45,72,98,11.3,overcast clouds
289,Mamallapuram,IN,12.6264,80.1722,91.45,58,100,11.63,overcast clouds
290,Burnie,AU,-41.0667,145.9167,53.92,87,100,26.46,light rain
291,Jizan,SA,17.3333,42.6667,88.74,66,29,2.66,scattered clouds
292,Pevek,RU,69.7008,170.3133,38.8,77,79,10.49,broken clouds
293,Pitimbu,BR,-7.4706,-34.8086,73.99,90,32,8.05,scattered clouds
294,Mantua,IT,45.1667,10.7833,70.83,83,1,1.99,clear sky
295,Kalmunai,LK,7.4167,81.8167,80.02,77,100,7.14,overcast clouds
296,Nantucket,US,41.2835,-70.0995,74.97,95,90,9.22,overcast clouds
297,Lermontovka,RU,47.1453,134.3383,71.19,46,80,3.71,broken clouds
298,Vurnary,RU,55.4904,46.9648,67.28,73,100,8.43,overcast clouds
299,Mineiros,BR,-17.5694,-52.5511,67.64,35,38,1.79,scattered clouds
300,Port-Gentil,GA,-0.7193,8.7815,76.42,79,5,12.3,clear sky
301,Daura,NG,11.5538,11.4085,71.64,94,100,9.6,light rain
302,Alta Gracia,AR,-31.6529,-64.4283,35.87,58,0,1.16,clear sky
303,Cyangugu,RW,-2.4846,28.9075,60.19,84,100,0.49,overcast clouds
304,Half Moon Bay,US,37.4636,-122.4286,74.91,80,1,0.0,clear sky
305,Bandar-E Lengeh,IR,26.5579,54.8807,93.31,75,0,16.11,haze
306,Chokurdakh,RU,70.6333,147.9167,70.92,38,87,6.82,overcast clouds
307,Tiznit,MA,29.5833,-9.5,59.63,89,37,2.01,scattered clouds
308,Saint-Augustin,CA,51.226,-58.6502,64.42,93,67,4.5,broken clouds
309,Nam Som,TH,17.7704,102.1895,86.34,83,100,2.82,very heavy rain
310,Puerto Carreno,CO,6.189,-67.4859,74.62,93,88,4.27,overcast clouds
311,Clyde River,CA,70.4692,-68.5914,35.83,93,20,2.3,mist
312,Dalvik,IS,65.9702,-18.5286,44.53,67,74,0.96,broken clouds
313,Ust-Nera,RU,64.5667,143.2,80.65,25,29,4.76,scattered clouds
314,Darhan,MN,49.4867,105.9228,72.36,50,55,0.92,broken clouds
315,Big Rapids,US,43.6981,-85.4837,71.04,94,90,6.91,heavy intensity rain
316,Lata,PT,40.1629,-8.3327,63.91,93,49,2.24,scattered clouds
317,Denpasar,ID,-8.65,115.2167,83.86,74,40,12.66,scattered clouds
318,Slobidka,UA,47.8869,29.3461,62.58,70,0,8.19,clear sky
319,Anadyr,RU,64.75,177.4833,61.3,63,20,6.71,few clouds
320,Manjeshwar,IN,12.7194,74.8861,79.75,78,88,5.64,overcast clouds
321,Formosa Do Rio Preto,BR,-11.0483,-45.1931,72.46,45,61,2.86,broken clouds
322,Atherton,GB,53.5237,-2.4935,57.9,91,100,1.99,overcast clouds
323,Salalah,OM,17.0151,54.0924,77.09,88,90,3.44,overcast clouds
324,Bacungan,PH,9.9106,118.7022,88.7,57,87,7.63,overcast clouds
325,Raga,SS,8.4596,25.678,67.73,97,100,4.07,overcast clouds
326,Cockburn Town,TC,21.4612,-71.1419,82.63,77,0,19.98,clear sky
327,Bull Savanna,JM,17.8868,-77.5902,77.59,73,57,4.05,broken clouds
328,Ipixuna,BR,-1.7625,-48.8043,75.15,93,19,3.2,light rain
329,The Valley,AI,18.217,-63.0578,82.26,84,100,18.7,overcast clouds
330,Avera,US,33.194,-82.5271,79.72,81,27,4.94,scattered clouds
331,Tateyama,JP,34.9833,139.8667,91.42,73,90,3.85,overcast clouds
