City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
222,Bahia Blanca,AR,-38.7196,-62.2724,61.86,32,0,13.51,clear sky
223,Port Jervis,US,41.3751,-74.6927,95.32,63,41,5.26,scattered clouds
224,Alexandria,EG,31.2156,29.9553,81.14,78,40,9.22,scattered clouds
225,Haines Junction,CA,60.7522,-137.5108,55.35,94,100,2.3,moderate rain
226,Amahai,ID,-3.3333,128.9167,76.6,88,20,2.95,few clouds
227,Hasaki,JP,35.7333,140.8333,77.4,93,100,28.74,heavy intensity rain
228,Port Elizabeth,ZA,-33.918,25.5701,50.29,66,20,3.44,few clouds
229,Krasnoselkup,RU,65.7,82.4667,56.08,90,100,7.65,overcast clouds
230,Luderitz,NA,-26.6481,15.1594,64.04,34,0,19.33,clear sky
231,Nautla,MX,20.2167,-96.7833,87.85,61,11,13.6,few clouds
232,La Palma,US,33.8464,-118.0467,100.76,60,20,1.99,few clouds
233,Banda Aceh,ID,5.5577,95.3222,77.5,87,100,13.73,overcast clouds
234,Broken Hill,AU,-31.95,141.4333,47.91,71,75,8.05,broken clouds
235,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,76.66,71,8,11.43,clear sky
236,Paamiut,GL,61.994,-49.6678,45.16,90,100,22.01,overcast clouds
237,Nishihara,JP,26.1842,127.7558,80.65,97,75,14.97,broken clouds
238,Nagaur,IN,27.2,73.7333,86.9,49,92,18.3,overcast clouds
239,Turukhansk,RU,65.8167,87.9833,49.6,65,89,6.02,overcast clouds
240,Katsuura,JP,35.1333,140.3,78.91,91,100,29.51,moderate rain
241,Isangel,VU,-19.55,169.2667,64.51,82,40,6.91,scattered clouds
242,Russell,US,32.3502,-85.1999,93.79,48,20,3.44,few clouds
243,Skrunda,LV,56.6833,22.0167,65.86,71,100,5.3,overcast clouds
244,Oudtshoorn,ZA,-33.5907,22.2014,46.76,87,5,1.79,clear sky
245,Winnemucca,US,40.973,-117.7357,91.45,15,1,4.61,clear sky
246,Sola,VU,-13.8833,167.55,77.67,94,75,5.75,broken clouds
247,Santa Maria,BR,-29.6842,-53.8069,65.5,63,75,13.8,broken clouds
248,Tindwari,IN,25.6167,80.5333,86,70,100,9.22,overcast clouds
249,Wuchi,CN,29.3786,103.023,59.95,82,100,1.7,overcast clouds
250,Dao,PH,11.3937,122.6856,76.55,84,87,1.28,overcast clouds
251,Kedrovyy,RU,56.1667,91.8167,59.41,99,94,4.05,overcast clouds
252,Fortuna,US,40.5982,-124.1573,65.98,71,89,6.06,overcast clouds
253,San Patricio,US,28.017,-97.5169,96.03,45,68,12.86,broken clouds
254,West Wendover,US,40.7391,-114.0733,88.81,19,1,4.61,clear sky
255,Ixtapa,MX,20.7,-105.2,87.22,66,20,8.05,few clouds
256,Tateyama,JP,34.9833,139.8667,78.82,90,100,29.91,light rain
257,Prado,BR,-17.3411,-39.2208,74.48,64,5,7.23,clear sky
258,Keshod,IN,21.3,70.25,80.15,77,100,11.21,overcast clouds
259,Luau,AO,-10.7073,22.2247,73.85,14,1,3.38,clear sky
260,Nuuk,GL,64.1835,-51.7216,65.01,39,90,34.52,sand
261,Surt,LY,31.2089,16.5887,82.29,77,0,12.12,clear sky
262,Bom Jardim,BR,-7.7958,-35.5872,82.74,56,94,14.85,overcast clouds
263,Linhares,BR,-19.3911,-40.0722,77.77,54,93,7.4,overcast clouds
264,Manicore,BR,-5.8092,-61.3003,85.95,74,0,6.91,clear sky
265,Porto Tolle,IT,44.9497,12.3245,87.82,53,79,6.67,broken clouds
266,Severnyy,RU,50.677,36.5532,68.04,56,0,6.71,clear sky
267,Lerwick,GB,60.1545,-1.1494,59,81,62,7.43,broken clouds
268,Humaita,BR,-7.5061,-63.0208,101.88,19,56,3.15,broken clouds
269,Doha,QA,25.2867,51.5333,97.11,49,0,4.61,clear sky
270,Ha Tinh,VN,18.3333,105.9,80.31,76,100,6.78,overcast clouds
271,Vila Velha,BR,-20.3297,-40.2925,78.75,61,0,11.5,clear sky
272,Bosaso,SO,11.2842,49.1816,89.6,54,3,1.45,clear sky
273,Bakel,SN,14.905,-12.4568,91.02,54,100,9.64,overcast clouds
274,La Asuncion,VE,11.0333,-63.8628,74.93,100,100,9.22,overcast clouds
275,Byron Bay,AU,-28.65,153.6167,58.95,93,19,7.78,few clouds
276,Ponta Do Sol,PT,32.6667,-17.1,76.71,75,8,3.51,clear sky
277,Slave Lake,CA,55.2834,-114.769,75.18,46,1,4.61,clear sky
278,Ust-Nera,RU,64.5667,143.2,58.33,67,92,5.91,overcast clouds
279,Tokur,RU,53.1333,132.9,54.25,91,100,2.04,overcast clouds
280,Verkhoyansk,RU,67.5447,133.385,59.4,57,100,5.35,overcast clouds
281,Yeppoon,AU,-23.1333,150.7333,58.78,90,6,9.71,clear sky
282,Tlalchapa,MX,18.4,-100.4667,84.79,66,30,1.77,scattered clouds
283,Vrangel,RU,42.7297,133.0839,60.13,66,6,6.62,clear sky
284,Grand Gaube,MU,-20.0064,57.6608,68.38,84,13,3,few clouds
285,Voyvozh,RU,62.892,54.9635,70.09,62,56,12.01,broken clouds
286,Karratha,AU,-20.7377,116.8463,64.81,34,0,11.56,clear sky
287,Hambantota,LK,6.1241,81.1185,80.94,83,40,3.44,scattered clouds
288,Shimoda,JP,34.6667,138.95,78.91,91,100,23.22,overcast clouds
289,Cayenne,GF,4.9333,-52.3333,78.1,87,90,1.01,overcast clouds
290,Strezhevoy,RU,60.7333,77.5889,58.98,72,100,5.19,overcast clouds
291,Eldorado,BR,-23.7869,-54.2836,66.94,64,100,2.51,overcast clouds
292,Vardo,NO,70.3705,31.1107,53.8,100,90,2.3,fog
293,Baturaja,ID,-4.1333,104.1667,72.99,98,100,2.55,overcast clouds
294,Broome,US,42.2506,-75.833,92.7,61,75,4,broken clouds
295,Jalalabad,AF,34.4265,70.4515,93.63,39,0,3.85,clear sky
296,Faya,SA,18.3851,42.4509,71.71,49,90,2.26,overcast clouds
297,Auki,SB,-8.7676,160.7034,75.83,89,95,4.9,overcast clouds
298,Neuenkirchen,DE,52.2447,7.3718,67.78,70,99,7.02,overcast clouds
299,Qui Nhon,VN,13.7667,109.2333,80.31,74,100,4.09,overcast clouds
300,Santiago Del Estero,AR,-27.7951,-64.2615,62.8,19,0,3.27,clear sky
301,Mounana,GA,-1.4085,13.1586,77.14,64,58,2.57,broken clouds
302,Padang,ID,-0.9492,100.3543,77.49,86,100,2.86,overcast clouds
303,Hamilton,US,39.1834,-84.5333,91.06,71,40,1.01,scattered clouds
304,Buraydah,SA,26.326,43.975,102.65,12,1,12.1,clear sky
305,Cacador,BR,-26.7753,-51.015,50.99,95,100,3.18,overcast clouds
306,Codrington,AU,-38.2667,141.9667,48.58,90,77,9.13,broken clouds
307,Labytnangi,RU,66.6572,66.4183,59.68,93,100,0.85,overcast clouds
308,Imaichi,JP,36.7167,139.6833,67.23,95,100,2.48,overcast clouds
309,Axim,GH,4.8699,-2.2405,76.42,78,100,8.37,overcast clouds
310,Klaksvik,FO,62.2266,-6.589,58.12,88,100,8.86,overcast clouds
311,Te Anau,NZ,-45.4167,167.7167,41.77,83,100,6.13,overcast clouds
312,Qandala,SO,11.472,49.8728,89.47,50,5,5.97,clear sky
313,Marzuq,YE,14.4,46.4667,85.77,38,11,6.11,few clouds
314,Pangkalanbuun,ID,-2.6833,111.6167,74.16,98,92,2.75,overcast clouds
315,Luanda,AO,-8.8368,13.2343,71.13,85,0,13.42,clear sky
316,Abu Dhabi,AE,24.4667,54.3667,93.31,84,0,5.75,clear sky
317,Khani,GE,41.9563,42.9566,63.97,99,100,1.32,light rain
318,Omboue,GA,-1.5746,9.2618,75.97,84,72,8.39,broken clouds
319,Richards Bay,ZA,-28.783,32.0377,61.88,56,100,8.63,overcast clouds
320,Durban,ZA,-29.8579,31.0292,58.12,78,100,3,overcast clouds
321,Sfantu Gheorghe,RO,45.8667,25.7833,65.26,51,7,1.07,clear sky
322,Vila,PT,42.0304,-8.1588,72.48,48,0,3.04,clear sky
323,Tahta,EG,26.7693,31.5021,98.92,20,0,13.94,clear sky
324,Tiznit,MA,29.5833,-9.5,95.81,19,41,5.68,scattered clouds
325,Imbituba,BR,-28.24,-48.6703,62.49,95,100,3.18,light rain
326,Nicolas Bravo,MX,18.45,-88.9167,97.29,36,26,3.67,scattered clouds
327,Batticaloa,LK,7.7102,81.6924,81.84,75,100,0.69,overcast clouds
328,Nunoa,PE,-14.48,-70.6411,61.54,17,1,9.95,clear sky
329,Kaniama,CD,-7.5667,24.1833,79.54,24,3,1.92,clear sky
330,Cortes,ES,41.9395,-1.4396,98.65,26,15,8.28,few clouds
331,Talnakh,RU,69.4865,88.3972,53.89,78,100,6.04,overcast clouds
332,San Juan,AR,-31.5375,-68.5364,64.08,25,0,3.04,clear sky
333,Kamyshevatskaya,RU,46.4132,37.9563,70,90,100,27.58,heavy intensity rain
334,Magaria,NE,12.9983,8.9099,82.38,61,77,4.5,broken clouds
335,Champerico,GT,14.3,-91.9167,90.14,74,100,5.17,overcast clouds
336,Maniitsoq,GL,65.4167,-52.9,48.92,87,100,24.09,moderate rain
337,Puerto Colombia,CO,10.9878,-74.9547,80.69,71,87,5.93,overcast clouds
338,Olinda,BR,-8.0089,-34.8553,76.73,65,40,18.41,scattered clouds
339,Kazanskoye,RU,55.6448,69.235,55.53,74,25,4.83,scattered clouds
340,Eyl,SO,7.9803,49.8164,76.6,83,56,21.32,broken clouds
341,Alta Floresta,BR,-9.8756,-56.0861,100.22,18,0,8.05,clear sky
342,Dehloran,IR,32.6941,47.2679,100.13,10,0,8.68,clear sky
343,Pisco,PE,-13.7,-76.2167,68.02,77,20,12.66,few clouds
